"engineid","manifacturer","engine_serial_number","position_on_iarcraft","installation_date"
"ENG-0070","CFM International","ESN-500070","right","2017-07-02"
"ENG-0071","International Aero Engines","ESN-500071","left","2008-10-13"
"ENG-0072","International Aero Engines","ESN-500072","right","2008-10-13"
"ENG-0073","International Aero Engines","ESN-500073","left","2015-09-08"
"ENG-0074","International Aero Engines","ESN-500074","right","2015-09-08"
"ENG-0075","CFM International","ESN-500075","left","2018-10-10"
"ENG-0076","CFM International","ESN-500076","right","2018-10-10"
"ENG-0077","International Aero Engines","ESN-500077","left","2014-09-17"
"ENG-0078","International Aero Engines","ESN-500078","right","2014-09-17"
"ENG-0079","International Aero Engines","ESN-500079","left","2012-09-11"
"ENG-0080","International Aero Engines","ESN-500080","right","2012-09-11"
"ENG-0081","International Aero Engines","ESN-500081","left","2012-03-14"
"ENG-0082","International Aero Engines","ESN-500082","right","2012-03-14"
"ENG-0083","CFM International","ESN-500083","left","2008-11-02"
"ENG-0084","CFM International","ESN-500084","right","2008-11-02"
"ENG-0085","International Aero Engines","ESN-500085","left","2009-12-09"
"ENG-0086","International Aero Engines","ESN-500086","right","2009-12-09"
"ENG-0087","International Aero Engines","ESN-500087","left","2016-09-25"
"ENG-0088","International Aero Engines","ESN-500088","right","2016-09-25"
"ENG-0089","CFM International","ESN-500089","left","2021-06-23"
"ENG-0090","CFM International","ESN-500090","right","2021-06-23"
"ENG-0091","International Aero Engines","ESN-500091","left","2020-11-06"
"ENG-0092","International Aero Engines","ESN-500092","right","2020-11-06"
"ENG-0093","International Aero Engines","ESN-500093","left","2014-05-02"
"ENG-0094","International Aero Engines","ESN-500094","right","2014-05-02"
"ENG-0095","International Aero Engines","ESN-500095","left","2008-04-01"
"ENG-0096","International Aero Engines","ESN-500096","right","2008-04-01"
"ENG-0097","CFM International","ESN-500097","left","2010-05-12"
"ENG-0098","CFM International","ESN-500098","right","2010-05-12"
"ENG-0099","International Aero Engines","ESN-500099","left","2011-08-21"
"ENG-0100","International Aero Engines","ESN-500100","right","2011-08-21"
"ENG-0101","International Aero Engines","ESN-500101","left","2008-07-27"
"ENG-0102","International Aero Engines","ESN-500102","right","2008-07-27"
"ENG-0103","CFM International","ESN-500103","left","2017-03-18"
"ENG-0104","CFM International","ESN-500104","right","2017-03-18"
"ENG-0105","CFM International","ESN-500105","left","2009-02-26"
"ENG-0106","CFM International","ESN-500106","right","2009-02-26"
"ENG-0107","CFM International","ESN-500107","left","2020-10-26"
"ENG-0108","CFM International","ESN-500108","right","2020-10-26"
"ENG-0109","International Aero Engines","ESN-500109","left","2014-02-20"
"ENG-0110","International Aero Engines","ESN-500110","right","2014-02-20"
"ENG-0111","International Aero Engines","ESN-500111","left","2023-07-20"
"ENG-0112","International Aero Engines","ESN-500112","right","2023-07-20"
"ENG-0113","International Aero Engines","ESN-500113","left","2020-01-18"
"ENG-0114","International Aero Engines","ESN-500114","right","2020-01-18"
"ENG-0115","CFM International","ESN-500115","left","2008-10-22"
"ENG-0116","CFM International","ESN-500116","right","2008-10-22"
"ENG-0117","CFM International","ESN-500117","left","2013-01-19"
"ENG-0118","CFM International","ESN-500118","right","2013-01-19"
"ENG-0119","CFM International","ESN-500119","left","2013-06-24"
"ENG-0120","CFM International","ESN-500120","right","2013-06-24"
"ENG-0121","International Aero Engines","ESN-500121","left","2021-02-06"
"ENG-0122","International Aero Engines","ESN-500122","right","2021-02-06"
"ENG-0123","CFM International","ESN-500123","left","2012-05-11"
"ENG-0124","CFM International","ESN-500124","right","2012-05-11"
"ENG-0125","CFM International","ESN-500125","left","2013-01-02"
"ENG-0126","CFM International","ESN-500126","right","2013-01-02"
"ENG-0127","CFM International","ESN-500127","left","2011-06-08"
"ENG-0128","CFM International","ESN-500128","right","2011-06-08"
"ENG-0129","International Aero Engines","ESN-500129","left","2016-11-02"
"ENG-0130","International Aero Engines","ESN-500130","right","2016-11-02"
"ENG-0131","International Aero Engines","ESN-500131","left","2009-08-12"
"ENG-0132","International Aero Engines","ESN-500132","right","2009-08-12"
"ENG-0133","CFM International","ESN-500133","left","2019-02-22"
"ENG-0134","CFM International","ESN-500134","right","2019-02-22"
"ENG-0135","CFM International","ESN-500135","left","2019-01-12"
"ENG-0136","CFM International","ESN-500136","right","2019-01-12"
"ENG-0137","CFM International","ESN-500137","left","2017-01-13"
"ENG-0138","CFM International","ESN-500138","right","2017-01-13"
"ENG-0139","International Aero Engines","ESN-500139","left","2020-04-03"
"ENG-0140","International Aero Engines","ESN-500140","right","2020-04-03"
"ENG-0141","International Aero Engines","ESN-500141","left","2023-11-04"
"ENG-0142","International Aero Engines","ESN-500142","right","2023-11-04"
"ENG-0143","International Aero Engines","ESN-500143","left","2022-05-02"
"ENG-0144","International Aero Engines","ESN-500144","right","2022-05-02"
"ENG-0145","International Aero Engines","ESN-500145","left","2013-06-10"
"ENG-0146","International Aero Engines","ESN-500146","right","2013-06-10"
"ENG-0147","International Aero Engines","ESN-500147","left","2020-05-15"
"ENG-0148","International Aero Engines","ESN-500148","right","2020-05-15"
"ENG-0149","International Aero Engines","ESN-500149","left","2010-12-23"
"ENG-0150","International Aero Engines","ESN-500150","right","2010-12-23"
"ENG-0151","CFM International","ESN-500151","left","2016-01-16"
"ENG-0152","CFM International","ESN-500152","right","2016-01-16"
"ENG-0153","CFM International","ESN-500153","left","2014-04-28"
"ENG-0154","CFM International","ESN-500154","right","2014-04-28"
"ENG-0155","CFM International","ESN-500155","left","2010-09-03"
"ENG-0156","CFM International","ESN-500156","right","2010-09-03"
"ENG-0157","International Aero Engines","ESN-500157","left","2009-09-15"
"ENG-0158","International Aero Engines","ESN-500158","right","2009-09-15"
"ENG-0159","CFM International","ESN-500159","left","2010-07-19"
"ENG-0160","CFM International","ESN-500160","right","2010-07-19"
"ENG-0161","CFM International","ESN-500161","left","2022-01-13"
"ENG-0162","CFM International","ESN-500162","right","2022-01-13"
"ENG-0163","International Aero Engines","ESN-500163","left","2020-11-21"
"ENG-0164","International Aero Engines","ESN-500164","right","2020-11-21"
"ENG-0165","CFM International","ESN-500165","left","2013-08-15"
"ENG-0166","CFM International","ESN-500166","right","2013-08-15"
"ENG-0167","CFM International","ESN-500167","left","2010-08-12"
"ENG-0168","CFM International","ESN-500168","right","2010-08-12"
"ENG-0169","International Aero Engines","ESN-500169","left","2013-07-28"
"ENG-0170","International Aero Engines","ESN-500170","right","2013-07-28"
"ENG-0171","International Aero Engines","ESN-500171","left","2020-07-18"
"ENG-0172","International Aero Engines","ESN-500172","right","2020-07-18"
"ENG-0173","International Aero Engines","ESN-500173","left","2014-08-28"
"ENG-0174","International Aero Engines","ESN-500174","right","2014-08-28"
"ENG-0175","CFM International","ESN-500175","left","2017-06-06"
"ENG-0176","CFM International","ESN-500176","right","2017-06-06"
"ENG-0177","International Aero Engines","ESN-500177","left","2011-02-22"
"ENG-0178","International Aero Engines","ESN-500178","right","2011-02-22"
"ENG-0179","CFM International","ESN-500179","left","2023-09-14"
"ENG-0180","CFM International","ESN-500180","right","2023-09-14"
"ENG-0181","International Aero Engines","ESN-500181","left","2009-09-01"
"ENG-0182","International Aero Engines","ESN-500182","right","2009-09-01"
"ENG-0183","International Aero Engines","ESN-500183","left","2008-09-04"
"ENG-0184","International Aero Engines","ESN-500184","right","2008-09-04"
"ENG-0185","International Aero Engines","ESN-500185","left","2011-03-21"
"ENG-0186","International Aero Engines","ESN-500186","right","2011-03-21"
"ENG-0187","CFM International","ESN-500187","left","2008-04-24"
"ENG-0188","CFM International","ESN-500188","right","2008-04-24"
"ENG-0189","CFM International","ESN-500189","left","2011-11-22"
"ENG-0190","CFM International","ESN-500190","right","2011-11-22"
"ENG-0191","CFM International","ESN-500191","left","2010-07-01"
"ENG-0192","CFM International","ESN-500192","right","2010-07-01"
"ENG-0193","International Aero Engines","ESN-500193","left","2023-03-18"
"ENG-0194","International Aero Engines","ESN-500194","right","2023-03-18"
"ENG-0195","International Aero Engines","ESN-500195","left","2022-12-02"
"ENG-0196","International Aero Engines","ESN-500196","right","2022-12-02"
"ENG-0197","CFM International","ESN-500197","left","2023-03-03"
"ENG-0198","CFM International","ESN-500198","right","2023-03-03"
"ENG-0199","International Aero Engines","ESN-500199","left","2009-02-11"
"ENG-0200","International Aero Engines","ESN-500200","right","2009-02-11"
"ENG-0201","International Aero Engines","ESN-500201","left","2020-12-13"
"ENG-0202","International Aero Engines","ESN-500202","right","2020-12-13"
"ENG-0203","CFM International","ESN-500203","left","2020-02-16"
"ENG-0204","CFM International","ESN-500204","right","2020-02-16"
"ENG-0205","International Aero Engines","ESN-500205","left","2017-09-01"
"ENG-0206","International Aero Engines","ESN-500206","right","2017-09-01"
"ENG-0207","CFM International","ESN-500207","left","2017-02-02"
"ENG-0208","CFM International","ESN-500208","right","2017-02-02"
"ENG-0209","CFM International","ESN-500209","left","2013-11-01"
"ENG-0210","CFM International","ESN-500210","right","2013-11-01"
"ENG-0211","CFM International","ESN-500211","left","2011-09-08"
"ENG-0212","CFM International","ESN-500212","right","2011-09-08"
"ENG-0213","International Aero Engines","ESN-500213","left","2016-11-06"
"ENG-0214","International Aero Engines","ESN-500214","right","2016-11-06"
"ENG-0215","International Aero Engines","ESN-500215","left","2017-08-17"
"ENG-0216","International Aero Engines","ESN-500216","right","2017-08-17"
"ENG-0217","International Aero Engines","ESN-500217","left","2009-05-28"
"ENG-0218","International Aero Engines","ESN-500218","right","2009-05-28"
"ENG-0219","International Aero Engines","ESN-500219","left","2013-05-02"
"ENG-0220","International Aero Engines","ESN-500220","right","2013-05-02"
"ENG-0221","CFM International","ESN-500221","left","2014-12-09"
"ENG-0222","CFM International","ESN-500222","right","2014-12-09"
"ENG-0223","International Aero Engines","ESN-500223","left","2017-03-08"
"ENG-0224","International Aero Engines","ESN-500224","right","2017-03-08"
"ENG-0225","CFM International","ESN-500225","left","2020-05-06"
"ENG-0226","CFM International","ESN-500226","right","2020-05-06"
"ENG-0227","CFM International","ESN-500227","left","2011-02-01"
"ENG-0228","CFM International","ESN-500228","right","2011-02-01"
"ENG-0229","CFM International","ESN-500229","left","2020-03-20"
"ENG-0230","CFM International","ESN-500230","right","2020-03-20"
"ENG-0231","International Aero Engines","ESN-500231","left","2012-04-10"
"ENG-0232","International Aero Engines","ESN-500232","right","2012-04-10"
"ENG-0233","International Aero Engines","ESN-500233","left","2022-03-05"
"ENG-0234","International Aero Engines","ESN-500234","right","2022-03-05"
"ENG-0235","International Aero Engines","ESN-500235","left","2020-08-05"
"ENG-0236","International Aero Engines","ESN-500236","right","2020-08-05"
"ENG-0237","CFM International","ESN-500237","left","2014-05-17"
"ENG-0238","CFM International","ESN-500238","right","2014-05-17"
"ENG-0239","CFM International","ESN-500239","left","2013-03-04"
"ENG-0240","CFM International","ESN-500240","right","2013-03-04"
"ENG-0241","International Aero Engines","ESN-500241","left","2015-03-23"
"ENG-0242","International Aero Engines","ESN-500242","right","2015-03-23"
"ENG-0243","International Aero Engines","ESN-500243","left","2008-01-22"
"ENG-0244","International Aero Engines","ESN-500244","right","2008-01-22"
"ENG-0245","CFM International","ESN-500245","left","2016-11-14"
"ENG-0246","CFM International","ESN-500246","right","2016-11-14"
"ENG-0247","CFM International","ESN-500247","left","2021-02-24"
"ENG-0248","CFM International","ESN-500248","right","2021-02-24"
